name {7}
Insecto palo común
Escorpión látigo
Escarabajo navajero
Escarabajo de arena blanca
Escarabajo chaochao
Grillo de cristal
Grillo pluvioso
Mariposa vítrea
Pelusa nevada
Luciérnaga fugaz
Grillo abisal
Escarabajo cetacegema
Mosca torpedo
Grillo espinoso
Madera de logunio
Arena albiférrea
Residuos brillantes
Perla saludable
Cristal arnaciano
Hueso boreal
Hoja katoana
Arcilla oranglotón
Sucraterra
Piedra de cristal de noka
Cuarzo galjim
Algodón de harnenga
Musgo eterno
Fósil wainess
Rama de zedis
Estalactita exubera
Resina cactácea plateada
Aire kridokano
Barro tembloroso
Esquirlas de roca acton
Coral fullerene
Ácido taomán
Roca grandan
Cobre de jagitos
Espora pomio
Lava enfriada
Tierra de zalon
Electropiedra rogebra
Pólvora de autiga
Piedra zaguiria
Aceite de cliord
Espejo protector de refracción
Radiador anhidro
Tubería inoxidable refractaria
Depósito de combustible L-002
Analizador espacial L-002
Traje espacial US-X
Generador de haz centrífugo
Cámara de conservación
Nostalgia L-002
Propulsor iónico HI9
Hiperdisipador Mk. IX
Guante motor
Impresora 3D
Deflector de crucero AiR
Dron solar multiespejo
Recicladora de 5.ª generación
Reactor de degeneración L-002
Transformador inalámbrico
Película protectora
Emisor de ADN señuelo
Haz de calor dagú L-002
IA autónoma A-HAB
Conversor de gases solares
Freno de oxígeno
Pintura fluorescente
Autoposicionador
Bioextractor
Prototipo FN 3
Pulpo mecánico
Mortero estriado
Ábaco de bellotas
Arborifaz
Monedero de cáñamo
Piedra cantarina
Masa repelente
Surtido de anémonas de mar
Barca de madera de logunio
Lámpara brillante
Corrector de espinazo
Caja de espinas
Lanza de la debacle
Piedra grabada
Vara de zahorí mágica
Pulsera del círculo eterno
Tambor de valor
Nopolito
Bálsamo yabuyabu
Flotador de paja
Globo espora
Espiaestrellas
Capa de camuflaje
Vara espiritual
Camilla elástica
Piedra afiladora
Vasija carbonizada
Lente pétrea
Lámpara oscura
Alas de Ícaro
Saco de dormir de bogano
Hucha gigante
Acelerador de evasión
Espiral estranguladora
Luz de rayos T
Botella moteada
Núcleo grosio
Terminal cerebral
Hexacalibrador
Bidón joad
Madonador resonante
Filtro ultra
Ojo erradicador
Reactor de sacrificios
Funda de acero para cola
Casco con cuernos
Calavera de combate
Piel iridiscente
Aparato detilid
Cableado para misiles
Inductor de furia
Emblema del rayo
Corona de castigo
Metal líquido inteligente
Analizador absoluto
Garra bárbara
Batería elemental
Plataforma de control espacial
Fragmento de filo dith
Escáner de voltante
Polvo de meditación
Atardecer de California
Telescopio de espejismos
Encanto antiguo
Beso de diosa
Imán resplandeciente
Espejo fraudulento
Balanza de la justicia
Motor esférico EM
Ídolos ancestrales
Hierro fuerte
Arena camaleónica
Estrella de la doncella
Piedra del eco
Grabados ilógicos
Piedra angelical
Sintetizador de memoria
Sal de doble hélice
Fluido luminoso verde
Huevo floral
Embeleso de la reina
Tornillo pétreo
Astroscopio
Transmisor toctoc
Cadena de afinidad
Aumentamúsculo plus
Vara de brutalidad +10
Caldero veleidoso
Sonajero sísmico
Cetro de alta alcurnia
Máscara de la perdición
Pintura perturbadora
Tomo de auge y caída
"Fruta con aspecto de calabaza y con una[ST:n ]corteza negra. La pulpa blanca esponjosa[ST:n ]de su interior es insípida, pero se usa[ST:n ]como ingrediente nutricional."
"Esta patata con forma de gota es oriunda[ST:n ]de Primordia. Es amarga y no se puede[ST:n ]consumir cruda, pero es rica en proteínas[ST:n ]y se usa mucho en platos preparados."
"Lechuga que emite calor y cuyas hojas[ST:n ]titilantes se asemejan al sol. Propensa[ST:n ]a la autocombustión, solo puede[ST:n ]encontrarse en días lluviosos."
"Sus finas hebras le otorgan un aspecto[ST:n ]de bola de pelo, y sus llamativos[ST:n ]colores contrastan con su sabor,[ST:n ]que se asemeja al de una simple col."
"Zanahoria dividida en ocho raíces.[ST:n ]De estas, siete son extremadamente[ST:n ]dulces, pero la restante posee una[ST:n ]amargura que hace saltar las lágrimas."
Tomate que puede acumular grandes[ST:n ]cantidades de agua y da fruto solo en[ST:n ]días lluviosos. Su jugosa pulpa es[ST:n ]deleite de gran parte de la fauna local.
"Hongo noctilita que libera esporas[ST:n ]en el aire, aturdiendo a la fauna cercana.[ST:n ]Hay una subespecie que sume en un[ST:n ]estado extático a quien la consume."
"Berenjena dulce y correosa que crece[ST:n ]en los árboles, absorbiendo su savia.[ST:n ]También extrae patógenos del árbol,[ST:n ]incrementando así la vida de este."
"Planta con tentáculos con boca[ST:n ]que se extienden para cazar insectos.[ST:n ]Es muy rica en proteínas, por lo que[ST:n ]se ha convertido en un alimento esencial."
Crecen absorbiendo plasma de la[ST:n ]atmósfera. Son muy apreciadas por[ST:n ]su intenso sabor y sus efectos calmantes.
Subespecie de seta cesérea que solo[ST:n ]aparece una vez cada cien años.[ST:n ]Se dice que los que la prueban pasan[ST:n ]el resto de sus días en estado extático.
Este vegetal sabe a col y tiene un tono[ST:n ]negruzco que se intensifica al cocerlo.
"Tiene forma de cuerno afilado, por lo que[ST:n ]se recomienda no manipularlo sin guantes.[ST:n ]Su ingestión acelera la recuperación,[ST:n ]pero también da mal aliento."
"Su gruesa vaina contiene múltiples alubias[ST:n ]del tamaño de un puño. Una de estas[ST:n ]provee suficiente alimento para un día, lo[ST:n ]que las hace ideales para viajes largos."
"Calabacín introducido por alienígenas.[ST:n ]A pesar de su insipidez, su capacidad[ST:n ]para crecer incluso en tierra estéril[ST:n ]lo convierte en un alimento imprescindible."
"Luce rojo, amarillo, azul y después negro[ST:n ]en una secuencia continua. Es un pimiento[ST:n ]de bello aspecto que resulta un placer[ST:n ]tanto para la vista como para el paladar."
Hierba cargada magnéticamente y cubierta[ST:n ]de polvo de hierro. Usada como remedio[ST:n ]herbal debido a su capacidad para[ST:n ]eliminar exceso de hierro del cuerpo.
"Brócoli con forma de corona que, se dice,[ST:n ]confiere el señorío de Mira a quienes lo[ST:n ]consumen. Pruebas realizadas indican que,[ST:n ]en efecto, provoca delirios de grandeza."
"Rábano cuyas muchas raíces se entretejen[ST:n ]de manera similar a una cadena de ADN.[ST:n ]Desafortunadamente, su sabor no está[ST:n ]a la altura de su imponente aspecto."
"Estas judías potencian el efecto del[ST:n ]alcohol, lo que a veces provoca trágicos[ST:n ]resultados. Se recomienda consumir otro[ST:n ]refrigerio si se va a beber alcohol."
"Su cáscara contiene semillas[ST:n ]más pequeñas que un grano de arena.[ST:n ]Al agitarlo, produce un placentero sonido[ST:n ]rítmico que calma y alivia el estrés."
"Cereal blanquiazul con aspecto[ST:n ]similar al maíz. Al crecer, los granos[ST:n ]se llenan de gas hasta que, finalmente,[ST:n ]se sueltan y se van volando."
Apio poco común que crece en las[ST:n ]fisuras de animales muertos humedecidos[ST:n ]por la lluvia. Su sabor depende[ST:n ]de la carroña de la que hayan crecido.
"Al pelarla, se revela un interior no[ST:n ]comestible. Solo se puede comer la capa[ST:n ]exterior, pero su sutil sabor dulce ha de[ST:n ]disfrutarse en cantidades moderadas."
"Pimienta dotada de la energía[ST:n ]del relámpago, capaz de doblegar[ST:n ]hasta a los más recios. Más propia de la[ST:n ]industria armamentística que de la cocina."
"Puede parecer un árbol, pero[ST:n ]tiene el tacto y el sabor del bambú.[ST:n ]La fauna de Cauldros usa su capa[ST:n ]exterior para afilarse los colmillos."
"Raíz tóxica negra capaz de acabar[ST:n ]con las más grandes criaturas.[ST:n ]Si se deja crecer, las toxinas letales[ST:n ]acaban esparciéndose por sus células."
"Su fina piel transparente contiene[ST:n ]una fruta granulada y gelatinosa. Su jugo[ST:n ]es dulce, pero también muy pegajoso[ST:n ]y un incordio a la hora de limpiarlo."
"Una naranja fácilmente confundible[ST:n ]con una roca. A pesar de su delicioso[ST:n ]sabor, su aspecto poco apetitoso[ST:n ]suele echar para atrás a mucha gente."
"Esta fruta parece un cardo, pero tiene[ST:n ]sabor a fresa. Ha de someterse[ST:n ]a un proceso para darle forma de fresa[ST:n ]antes de poder ser comercializada."
"Bajo su piel negra yace una semilla[ST:n ]que centellea como una estrella,[ST:n ]e incluso podría convertirse en supernova.[ST:n ]Por desgracia, al sacarla pierde su brillo."
"Su consumo puede causar euforia, con[ST:n ]efectos secundarios que incluyen alaridos[ST:n ]de júbilo y palpitaciones. Sin embargo,[ST:n ]conviene tener en cuenta su sabor picante."
Limón ultrasónico cuyas emisiones están[ST:n ]fuera de la percepción del oído humano.[ST:n ]Los nativos de Mira que pueden oírlo[ST:n ]suelen buscar el origen de estos gemidos.
Fruta del tamaño de una mano que crece[ST:n ]silvestre en los bosques de Noctilum. La[ST:n ]exposición continuada a los rayos solares[ST:n ]disuelve la piel y revela la pulpa interior.
"Al madurar, la semilla se cae del árbol,[ST:n ]con el riesgo de provocar una grave[ST:n ]herida al desafortunado que reciba[ST:n ]el impacto."
"Planta atípicamente robusta y de hojas[ST:n ]grandes que se propaga agresivamente[ST:n ]por el planeta, apartando a otras plantas[ST:n ]e incluso rocas a su paso."
"Fruta luminiscente que crece de las flores[ST:n ]gigantes de Noctilum. Ataviada con largas[ST:n ]y afiladas espinas, aquellos cautivados[ST:n ]por su brillo sufren una dolorosa muerte."
Fruta de gran elasticidad cuya piel[ST:n ]se ha llegado a utilizar en la industria[ST:n ]textil. Su textura gomosa y sabor dulce[ST:n ]recuerdan a un chicle.
"Ciruela agria que solo crece en cuevas[ST:n ]oscuras. Su sabor puede doblegar hasta[ST:n ]al animal más robusto, y hace que la[ST:n ]mayoría de criaturas huyan despavoridas."
"Hoja con sabor a plátano y aspecto[ST:n ]insulso. Aunque muy codiciada por su[ST:n ]sabor, su hábito de camuflarse hace[ST:n ]que sea muy difícil encontrarla."
"Raro melón luminiscente. Venerado desde[ST:n ]tiempos inmemoriales como fruto sacro,[ST:n ]se dice que un bocado de su pulpa otorga[ST:n ]sabiduría... O por lo menos una sonrisa."
"Fruta oriunda de climas tormentosos.[ST:n ]A primera vista, parece un montón[ST:n ]de arena, pero cuando madura,[ST:n ]adopta la forma de una sandía."
Uva tan grande que solo puede crecer[ST:n ]una en cada árbol. Se puede hacer[ST:n ]una bebida similar al vino al mezclarla[ST:n ]con alcohol.
"Kiwi con cáscara similar a la del huevo.[ST:n ]Esta cubierta actúa como escudo,[ST:n ]protegiendo su interior de los insectos[ST:n ]que pululan por los parajes miráqueos."
"Fruta cubierta de afiladas espinas usada[ST:n ]por sus efectos hemostáticos. Se consumen[ST:n ]muchas durante la cosecha, debido a las[ST:n ]heridas que producen al recogerlas."
"La escasez de pulpa es compensada[ST:n ]por sus numerosas semillas comestibles.[ST:n ]Son amargas, pero tan adictivas[ST:n ]que se consumen sin pausa."
"Fruta que captura el aire frío circundante.[ST:n ]Está tan fría que produce congelación[ST:n ]al tocarla, y solo puede consumirse[ST:n ]tras ponerla a temperatura ambiente."
Fruta con semillas blancas similares[ST:n ]a copos de nieve y de sabor bastante[ST:n ]amargo. Los habitantes de climas fríos[ST:n ]la consumen para entrar en calor.
"Uva con semillas que se asemejan a joyas[ST:n ]grabadas. Aunque suele ser agria,[ST:n ]en raras ocasiones puede volverse dulce,[ST:n ]para deleite de los que la consumen."
"Fruta rebosante de energía que puede[ST:n ]producir una explosión cataclísmica[ST:n ]al caer, por lo que se recomienda[ST:n ]cosecharla con extrema cautela."
"Fruta con sabor a carne. Al calentarla,[ST:n ]se producen curiosas anomalías[ST:n ]en su sabor, evocando ternera a altas[ST:n ]temperaturas y cerdo a bajas."
"Semilla resistente al calor que se[ST:n ]encuentra en la lava. Se transforma en[ST:n ]una roca con frutos dentro al enfriarse.[ST:n ]Es dulce y nutritiva, pero difícil de cascar."
"Akebi que puede sobrevivir a su entorno[ST:n ]gracias a una piel dura como el hierro.[ST:n ]Debido a su existencia milenaria, seguro[ST:n ]que posee valiosa información genética."
Higo con efectos purificadores que crece[ST:n ]hasta en tierras áridas. Su efecto es tan[ST:n ]fuerte que si se toma sin motivo puede[ST:n ]disminuir la asimilación de nutrientes.
Piña negra provista de retículos en forma[ST:n ]de ojos. Se dice que quien la toca queda[ST:n ]sumido en un estado de terror. Solo[ST:n ]recomendable para los fuertes de espíritu.
"Hierba que se regenera inmediatamente[ST:n ]tras ser cortada. Si se poda, cada parte[ST:n ]adquiere vida propia. La incineración[ST:n ]es el único método viable de eliminación."
"Lirio blanco que, a la luz de la luna,[ST:n ]emite un tenue brillo dorado. Varios[ST:n ]tipos de insecto se ven atraídos por[ST:n ]esta flor y pueden verse a su alrededor."
"Florece solo un fugaz momento cada[ST:n ]día, antes de retirarse de nuevo al caer[ST:n ]la noche. Su color es un espectáculo para[ST:n ]quienes tienen la fortuna de presenciarlo."
Una atrayente hierba con capacidad[ST:n ]para embelesar no solo a los felinos.[ST:n ]Posee un potente aroma que atrae[ST:n ]a todo tipo de criaturas desde kilómetros.
Este diente de león lanza semillas a las[ST:n ]criaturas cercanas. Las semillas se[ST:n ]convierten entonces en parásitos y la vida[ST:n ]del huésped no llega a ser muy larga.
"Hierba con un aroma dulce,[ST:n ]fresco y relajante. Se dice que[ST:n ]hasta las más vivaces criaturas[ST:n ]se calman con esta fragancia."
"Aunque crece por todas partes, su gran[ST:n ]semilla a menudo germina en grietas[ST:n ]estrechas, quedando estas bloqueadas.[ST:n ]Una especie en peligro de extinción."
"Flor blanca y bastante sencilla.[ST:n ]No hay nada de especial acerca de su[ST:n ]altura o apariencia. Sin embargo, cuando[ST:n ]se arranca brilla con una luz casi divina."
"Flor corta que, al contrario de lo que[ST:n ]indica su nombre, evita la luz solar en[ST:n ]todo momento. Cuando es expuesta a la[ST:n ]luz, crece hasta alcanzar grandes alturas."
"Tiene unas duras flores plateadas que[ST:n ]repican como campanas cuando las mece[ST:n ]el viento, ofreciendo a los visitantes de[ST:n ]Noctilum un breve momento de serenidad."
Planta insectívora que atrae a sus presas[ST:n ]hasta su boca con su dulce aroma. Estos[ST:n ]desdichados insectos se convierten en[ST:n ]motas que adornan los pétalos de la flor.
"Por mucho que se arranquen, los pétalos[ST:n ]de esta flor siempre vuelven a crecer.[ST:n ]Su consumo ayuda a la longevidad,[ST:n ]lo que la hace popular entre los ancianos."
Gran flor cosmos cuyos pétalos se mueven[ST:n ]en respuesta a ciertos estímulos. Esto ha[ST:n ]llevado a muchos a creer que en realidad[ST:n ]poseen un cierto grado de conciencia.
"Hierba de gran tamaño que, a primera[ST:n ]vista, podría pasar por un árbol.[ST:n ]Sin embargo, a pesar de su apariencia,[ST:n ]es muy flexible y fácil de cortar."
"Estas flores pueden ser extremadamente[ST:n ]difíciles de localizar, ya que sus pétalos[ST:n ]adoptan el color del entorno."
"Sus flores son ingeridas por la fauna[ST:n ]miráquea, gracias a lo cual las semillas[ST:n ]se dispersan a través de los excrementos[ST:n ]de los seres indígenas."
"Esta planta es capaz de crecer a un ritmo[ST:n ]anormal, pero tiene un ciclo de vida[ST:n ]muy corto y no consigue proliferar.[ST:n ]Es similar a la rocambola de la Tierra."
Tiene una acidez única muy apreciada[ST:n ]por gourmets y cocineros de NLA.[ST:n ]Con ella pueden hacerse bebidas[ST:n ]muy similares al café.
Hierba bastante genérica con propiedades[ST:n ]eméticas que provocan el vómito a quien[ST:n ]la ingiere. Puede utilizarse como medicina[ST:n ]o como veneno.
"Cactus con espinas suaves como tentáculos[ST:n ]de medusa. Se dice que si un myuena[ST:n ]podrido entra en contacto con la lluvia,[ST:n ]se transforma en resina cactácea plateada."
"Acebo con grandes frutas moradas[ST:n ]que explotan al caer, esparciendo[ST:n ]sus reservas de polen. Ciertas criaturas[ST:n ]no pueden soportar su olor."
"Hojas brillantes brotan de su tallo largo y[ST:n ]estrecho. Mezcladas con saliva, producen[ST:n ]un líquido viscoso que se enrosca en[ST:n ]la garganta y dificulta la respiración."
Flor que emite un sonido explosivo[ST:n ]cuando detecta cualquier ruido en la[ST:n ]cercanía. Hay que acercarse con gran[ST:n ]sigilo para evitar que esto ocurra.
Planta con un tallo provisto de aros que[ST:n ]emite una sola pompa de jabón al día.[ST:n ]Estas burbujas transportan el polen[ST:n ]que engendrará a su vez más lirios sese.
Sus pétalos pueden usarse para fabricar[ST:n ]tintes que pueden combinarse para formar[ST:n ]cualquier color. Se dice que estos tonos[ST:n ]tan vívidos nunca llegan a desteñirse.
"Flor que brilla como las más bellas joyas.[ST:n ]Puede usarse como herbicida,[ST:n ]ya que al florecer roba los nutrientes[ST:n ]de las plantas que tiene a su alrededor."
"Flor de gran tamaño rebosante de polen[ST:n ]y conocida por su rápida expansión.[ST:n ]Su polen es muy sabroso, por lo que es[ST:n ]muy apreciada entre los nopon."
"Crisantemo dorado que crece y se[ST:n ]reproduce dejándose llevar por los vientos[ST:n ]cauldrianos, absorbiendo azufre. Antes de[ST:n ]morir, adopta forma de cristal de azufre."
"Robusta planta que no arde ni bajo[ST:n ]las ígneas lluvias de Cauldros.[ST:n ]Sin embargo, es extremadamente[ST:n ]sensible al frío."
"Ninguna criatura puede resistirse a sus[ST:n ]atractivos pétalos. Fue recolectada casi[ST:n ]hasta su extinción, y ahora solo puede[ST:n ]hallarse en lo más profundo de Cauldros."
"Semejante a un lagarto. Debido a su[ST:n ]incapacidad para retener líquido, casi[ST:n ]siempre está deshidratada. Suele cazar[ST:n ]a presas con alto contenido acuoso."
Pequeño y holgazán animal similar[ST:n ]a un koala. Las alas que tiene en la[ST:n ]espalda podrían ser bastante útiles[ST:n ]si el animal no fuese tan vago.
Criatura semejante a una ardilla que usa[ST:n ]sus dientes en forma de taladro para[ST:n ]excavar su madriguera en cuevas.[ST:n ]El líder suele encontrarse en su interior.
"Gran murciélago cuadrúpedo con alas[ST:n ]atrofiadas que se arrastra por el suelo en[ST:n ]busca de comida. Al ser vulnerable en la[ST:n ]oscuridad, suele estar en zonas con luz."
Pez dorado algo nervioso al que se puede[ST:n ]ver con frecuencia saltando fuera[ST:n ]del agua. Su sabor recuerda[ST:n ]al de la sardina terrestre.
"Conejo con tres orejas que come pólvora[ST:n ]y tiene el alias de \""Barrendero\"" porque[ST:n ]limpia de balas los campos de batalla.[ST:n ]Su población ha aumentado últimamente."
Criatura de gran tamaño similar[ST:n ]a un caracol. En la concha almacena[ST:n ]una reserva de masa grasienta que usa[ST:n ]como sustento en períodos de escasez.
"Cuando le atacan, se enrolla en una bola[ST:n ]y se camufla como una roca. En su vejez,[ST:n ]se ve limitado a movimientos minúsculos[ST:n ]por el peso de su propio cuerpo."
Pez plano con un ojo móvil que puede[ST:n ]asemejarse a un lenguado con un ojo[ST:n ]izquierdo o uno derecho.
"Este primate usa su marsupio para[ST:n ]almacenar los tesoros desperdigados por[ST:n ]el suelo del bosque. Ferozmente protector,[ST:n ]solo un necio se atrevería a desafiarlo."
"Criatura similar a una iguana con lengua[ST:n ]extensible que usa como caña de pescar.[ST:n ]Los mejores cazadores se convierten[ST:n ]en iguaris jefe, dividiendo la especie."
Ave salvaje con alas reflectoras en las[ST:n ]que se reflejan los rayos solares cuando[ST:n ]es atacada. Así aturde a sus asaltantes[ST:n ]y tiene oportunidad de escapar.
Medusa terrestre con un cuerpo blando y[ST:n ]transparente. Se mueve usando sus[ST:n ]múltiples tentáculos y rodea a su presa[ST:n ]con todo su cuerpo antes de absorberla.
"Pequeña criatura semejante a un canguro,[ST:n ]capaz de salvar kilómetros de un solo[ST:n ]salto. Su pobre sentido de la orientación[ST:n ]hace que se pierda a menudo."
Bestia con un camuflaje de distorsión[ST:n ]espacial que le permite cambiar de forma.[ST:n ]Posee depósitos adiposos que le sirven[ST:n ]de sustento durante períodos de escasez.
"La especie de ratón perfecta, ya que,[ST:n ]al ser atacado, se agrupa en numerosas[ST:n ]filas y divisiones, usando la ventaja[ST:n ]numérica para desbordar a su enemigo."
"Criatura terrestre similar a un pulpo[ST:n ]con ocho patas tremendamente largas.[ST:n ]Por desgracia, su bajo peso corporal lo[ST:n ]hace muy vulnerable a los vientos fuertes."
Criatura semejante a una tortuga que se[ST:n ]alimenta de conejos zizi. Puede cobijar[ST:n ]todo su cuerpo en el caparazón y rotar[ST:n ]para desplazarse a gran velocidad.
"Criatura similar a un pepino de mar que[ST:n ]absorbe arena para sobrevivir. El 90 %[ST:n ]de su masa corporal es arena, por lo que[ST:n ]puede rellenar sus heridas rápidamente."
Mono de pequeño tamaño con un rostro[ST:n ]uniforme. Se guía por sonidos[ST:n ]y movimientos para orientarse.
"Criatura extremadamente hirsuta semejante[ST:n ]a un babuino. Con una esperanza de vida[ST:n ]aproximada de una semana, la madurez[ST:n ]y la vejez ocurren con rapidez inusitada."
"Animal con aspecto de oveja. Su lana[ST:n ]es inusualmente larga y suave, haciéndola[ST:n ]ideal para uso textil. Es muy arisca,[ST:n ]por lo que hay que acercarse con cautela."
"Criatura semejante a un calamar[ST:n ]con veinte tentáculos que crecen de[ST:n ]su cabeza. Suele atacar a otras criaturas,[ST:n ]aunque raramente sale victoriosa."
"Mapache pequeño de pelo suave.[ST:n ]Le encanta desparasitar a sus compañeros,[ST:n ]y probablemente le daría un repaso hasta[ST:n ]a un Skell, si tuviera la oportunidad."
Ave cubierta de marcas misteriosas.[ST:n ]Es lo suficientemente inteligente[ST:n ]como para comprender el lenguaje[ST:n ]y evita a los depredadores con facilidad.
Reptil parecido a una serpiente que se[ST:n ]alimenta de mineral de hierro.[ST:n ]En su estómago guarda rocas que utiliza[ST:n ]como proyectiles contra los depredadores.
"Bestia con cinco ojos y aspecto de jabalí.[ST:n ]A pesar de su apariencia demoníaca,[ST:n ]es increíblemente tímido y echa a correr[ST:n ]con ver al más pequeño insecto."
Ave semejante al ganso terrestre[ST:n ]con un cautivador graznido celestial.[ST:n ]Es de naturaleza noble y usa su voz[ST:n ]para advertir del peligro a otras criaturas.
"Criatura vulpina que se nutre de lava.[ST:n ]Cualquier otro líquido es letal,[ST:n ]por lo que su población disminuye[ST:n ]siempre que hay fuertes precipitaciones."
"Especie rara localizada exclusivamente[ST:n ]en Cauldros. A primera vista puede[ST:n ]parecer un lobo, pero sus aterradores[ST:n ]ojos rojos se ven a kilómetros."
Este mosquito puede parecer una pequeña[ST:n ]pelota de goma voladora. Sus numerosas[ST:n ]bocas cubiertas de pelo pueden extraer[ST:n ]sangre de un montón de criaturas.
"Saltamontes que recolecta comida con sus[ST:n ]antenas retráctiles. Al no tener la misma[ST:n ]capacidad de salto que su equivalente[ST:n ]terrestre, usa las patas para arrastrarse."
Escarabajo de unos 30 cm. Sus cuernos[ST:n ]son mucho más robustos que los de su[ST:n ]equivalente terrestre y no dudan[ST:n ]en enfrentarse a cualquier atacante.
"Insecto parecido a una mariquita. Sus[ST:n ]motas se multiplican con la edad, hasta[ST:n ]acabar negra del todo en la vejez. Odia[ST:n ]la música y escapa a la mínima melodía."
Insecto similar a un escarabajo que se[ST:n ]alimenta de las ondas expansivas de los[ST:n ]meteoritos. Detecta lugares potenciales[ST:n ]de impacto para llegar antes del choque.
"Hormigas solitarias que vagan por Mira[ST:n ]en búsqueda de su próxima morada. Su[ST:n ]reproducción se lleva a cabo en apenas[ST:n ]un día, tras lo cual prosiguen su camino."
"Colémbolo con forma de puño. Su veneno[ST:n ]aumenta en potencia cada día. Si está[ST:n ]sano, su caparazón se muestra rosa, pero[ST:n ]va perdiendo el color hasta que muere."
"Libélula luminiscente noctilita.[ST:n ]Para atraer a las hembras, el macho[ST:n ]efectúa un cortejo nupcial que es[ST:n ]un auténtico espectáculo de luz."
"Tábano que emite luz. Cuanta más sangre[ST:n ]bebe, más brillante y salvaje se vuelve.[ST:n ]Su luz estroboscópica hace huir[ST:n ]hasta a los doraguros de Oblivia."
"Polilla solitaria y autosuficiente. Sin[ST:n ]embargo, en época de celo, pueden verse[ST:n ]parejas entregadas a la danza de cortejo[ST:n ]como si su vida dependiera de ello."
"Insecto peludo con una extremidad frontal[ST:n ]falciforme. Se producen batallas épicas[ST:n ]a la hora de buscar pareja, ya que el[ST:n ]número de hembras supera al de machos."
"La picadura de su aguijón, de unos 30[ST:n ]cm, vuelve histéricas a sus víctimas.[ST:n ]A menudo se puede ver a estas[ST:n ]corriendo enfurecidas por Noctilum."
Discreto insecto de ocho patas tan duro[ST:n ]y pesado como el hierro. Usa la seda[ST:n ]para moverse entre los árboles[ST:n ]de Noctilum a gran velocidad.
"Ataca a los escarabajos tractor sin dudar.[ST:n ]Aparte de eso, suele ser bastante pacífico[ST:n ]y solo usa sus pinzas para cortar hierba."
"Mariposa que se alimenta de la luz solar[ST:n ]y la que emiten otras criaturas noctilitas.[ST:n ]En sus últimos momentos de vida, explota[ST:n ]ofreciendo un espectáculo de luz."
Reptil con un gran apetito similar a un[ST:n ]geco. La masa grasienta que se esconde[ST:n ]bajo su piel es muy valorada por su alto[ST:n ]contenido proteínico y sabor mantecoso.
Gusano que se alimenta de miranio.[ST:n ]Excava hasta grandes profundidades[ST:n ]en busca de esta fuente de energía[ST:n ]y muy raramente sale a la superficie.
"Escarabajo que puede parecer un nopon[ST:n ]desde ciertos ángulos. Aun así, su chirrido[ST:n ]resulta tan insoportable para los nopon,[ST:n ]que harían cualquier cosa para evitarlo."
"Refleja la luz ambiental, iluminando[ST:n ]su entorno en kilómetros a la redonda.[ST:n ]Aunque su apariencia pueda engañar,[ST:n ]este insecto carnívoro es muy peligroso."
"Este insecto es casi indistinguible de una[ST:n ]rama, pero prefiere no camuflarse de ese[ST:n ]modo. Cambia a color marrón en ramas[ST:n ]verdes y a verde en ramas marrones."
"Escorpión largo y blando que usa su cola[ST:n ]a modo de látigo como defensa. Al usarla[ST:n ]también para otros menesteres, perdió[ST:n ]su veneno en el proceso evolutivo."
